# SNID:                      2024srp                  
# SPECTRUM_ID:               1
# SPECTRUM_MJD:              60529.20
# SPECTRUM_TELESCOPE:        P60
# SPECTRUM_INSTRUMENT:       SEDM
# SPECTRUM_TEXPOSE:          2700.0  
# SPECTRUM_STAT_SNR:         3.79    
# SPECTRUM_SYS_SNR:          60.05   
# SPECTRUM_VEXP:             1.827e-03
# SPECTRUM_NLAM:             214   
# SPECTRUM_INFILE:           2024srp_60529.20_SEDM.ascii
# -------------------------------------- #
#   WAVE     FLUX        FLUX_STATERR  FLUX_SYSERR 
    6257.10  2.23500e-16  6.12046e-17  2.60356e-18
    6282.60  2.22400e-16  4.76130e-17  2.48715e-18
    6308.20  1.72100e-16  4.49555e-17  2.40106e-18
    6333.80  1.38100e-16  4.99700e-17  2.31293e-18
    6359.40  1.25600e-16  1.91311e-17  2.22771e-18
    6384.90  1.39500e-16  5.07445e-17  2.15769e-18
    6410.50  1.30000e-16  4.96890e-17  2.12651e-18
    6436.10  1.34800e-16  5.33667e-17  2.12546e-18
    6461.60  1.23900e-16  4.48330e-17  2.15012e-18
    6487.20  1.09300e-16  1.90263e-17  2.19793e-18
    6512.80  9.95100e-17  4.24028e-17  2.25433e-18
    6538.40  6.95900e-17  4.41928e-17  2.27152e-18
    6563.90  1.09000e-16  4.35546e-17  2.27830e-18
    6589.50  1.19700e-16  3.70945e-17  2.26049e-18
    6615.10  1.30500e-16  3.81314e-17  2.27486e-18
    6640.60  1.57200e-16  3.98999e-17  2.23468e-18
    6666.20  1.59300e-16  4.14246e-17  2.23233e-18
    6691.80  1.66600e-16  3.62905e-17  2.24830e-18
    6717.40  1.91400e-16  3.85746e-17  2.28562e-18
    6742.90  2.08000e-16  3.87298e-17  2.41601e-18
    6768.50  1.94200e-16  3.60694e-17  2.43011e-18
    6794.10  1.84100e-16  3.71484e-17  2.47746e-18
    6819.60  1.99400e-16  3.64005e-17  2.51708e-18
    6845.20  1.70400e-16  3.04664e-17  2.53395e-18
    6870.80  1.43900e-16  3.36303e-17  2.52644e-18
    6896.30  1.64500e-16  3.70540e-17  2.53084e-18
    6921.90  1.71600e-16  3.64692e-17  2.50898e-18
    6947.50  1.69300e-16  3.56791e-17  2.55726e-18
    6973.10  1.79800e-16  3.19687e-17  2.61433e-18
    6998.60  1.92700e-16  3.47419e-17  2.70309e-18
    7024.20  1.81200e-16  3.15373e-17  2.82906e-18
    7049.80  1.54300e-16  3.08302e-17  2.97637e-18
    7075.30  1.31300e-16  2.97607e-17  3.11668e-18
    7100.90  1.42900e-16  3.02523e-17  3.22386e-18
    7126.50  1.80700e-16  3.23110e-17  3.26867e-18
    7152.10  1.63900e-16  3.16228e-17  3.24883e-18
    7177.60  1.52600e-16  3.46699e-17  3.15199e-18
    7203.20  1.79900e-16  3.45832e-17  2.99594e-18
    7228.80  1.70800e-16  3.36155e-17  2.79347e-18
    7254.30  1.49300e-16  3.07360e-17  2.58406e-18
    7279.90  1.37500e-16  2.98429e-17  2.41404e-18
    7305.50  1.21000e-16  2.78173e-17  2.13649e-18
    7331.10  1.24300e-16  2.38642e-17  1.95923e-18
    7356.60  1.22200e-16  2.28473e-17  1.82003e-18
    7382.20  1.08500e-16  2.54342e-17  1.71338e-18
    7407.80  1.07500e-16  2.58438e-17  1.69483e-18
    7433.30  1.08400e-16  2.87054e-17  1.75273e-18
    7458.90  1.13200e-16  2.67283e-17  1.83326e-18
    7484.50  1.15900e-16  2.57235e-17  1.99101e-18
    7510.00  1.21600e-16  2.47204e-17  2.18822e-18
    7535.60  1.35600e-16  2.08351e-17  2.39600e-18
    7561.20  1.16000e-16  2.47326e-17  2.62147e-18
    7586.80  1.02100e-16  2.67226e-17  2.83208e-18
    7612.30  1.15500e-16  3.41174e-17  3.02903e-18
    7637.90  1.09900e-16  3.63043e-17  3.17465e-18
    7663.50  1.15300e-16  3.39411e-17  3.28966e-18
    7689.00  1.42000e-16  3.13640e-17  3.38350e-18
    7714.60  1.46200e-16  2.74500e-17  3.48345e-18
    7740.20  1.18800e-16  2.40853e-17  3.32636e-18
    7765.80  1.16600e-16  2.19636e-17  3.20975e-18
    7791.30  1.41200e-16  1.87963e-17  3.05909e-18
    7816.90  1.59400e-16  2.21020e-17  2.96325e-18
    7842.50  1.48600e-16  1.96469e-17  2.73669e-18
    7868.00  1.29400e-16  2.04841e-17  2.51981e-18
    7893.60  1.03000e-16  2.07990e-17  2.35368e-18
    7919.20  8.59300e-17  2.10167e-17  2.25908e-18
    7944.70  8.56200e-17  2.25898e-17  2.14270e-18
