# SNID:                      ZTF18aabstmw             
# SPECTRUM_ID:               1
# SPECTRUM_MJD:              58184.00
# SPECTRUM_TELESCOPE:        P60
# SPECTRUM_INSTRUMENT:       SEDM
# SPECTRUM_TEXPOSE:          1800.0  
# SPECTRUM_STAT_SNR:         -9.00   
# SPECTRUM_SYS_SNR:          200.00  
# SPECTRUM_VEXP:             1.534e-03
# SPECTRUM_NLAM:             208   
# SPECTRUM_INFILE:           ZTF18aabstmw_58184.00_SEDM.ascii
# -------------------------------------- #
#   WAVE     FLUX        FLUX_STATERR  FLUX_SYSERR 
    5109.40  2.77180e-16 -9.90000e+01  1.38590e-18
    5129.00  2.70710e-16 -9.90000e+01  1.35355e-18
    5148.80  2.61290e-16 -9.90000e+01  1.30645e-18
    5168.60  2.45710e-16 -9.90000e+01  1.22855e-18
    5188.60  2.54410e-16 -9.90000e+01  1.27205e-18
    5208.80  2.71370e-16 -9.90000e+01  1.35685e-18
    5229.10  2.64630e-16 -9.90000e+01  1.32315e-18
    5249.50  2.64660e-16 -9.90000e+01  1.32330e-18
    5270.10  2.55440e-16 -9.90000e+01  1.27720e-18
    5290.80  2.64160e-16 -9.90000e+01  1.32080e-18
    5311.60  2.71590e-16 -9.90000e+01  1.35795e-18
    5332.70  2.41090e-16 -9.90000e+01  1.20545e-18
    5353.80  2.05920e-16 -9.90000e+01  1.02960e-18
    5375.10  2.06700e-16 -9.90000e+01  1.03350e-18
    5396.60  2.38220e-16 -9.90000e+01  1.19110e-18
    5418.20  2.23580e-16 -9.90000e+01  1.11790e-18
    5440.00  2.17250e-16 -9.90000e+01  1.08625e-18
    5461.90  2.30250e-16 -9.90000e+01  1.15125e-18
    5484.00  2.11720e-16 -9.90000e+01  1.05860e-18
    5506.30  1.98480e-16 -9.90000e+01  9.92400e-19
    5528.70  1.93000e-16 -9.90000e+01  9.65000e-19
    5551.20  1.88600e-16 -9.90000e+01  9.43000e-19
    5574.00  2.17590e-16 -9.90000e+01  1.08795e-18
    5596.90  2.20730e-16 -9.90000e+01  1.10365e-18
    5620.00  2.11490e-16 -9.90000e+01  1.05745e-18
    5643.20  1.96290e-16 -9.90000e+01  9.81450e-19
    5666.70  1.99440e-16 -9.90000e+01  9.97200e-19
    5690.30  2.07060e-16 -9.90000e+01  1.03530e-18
    5714.00  2.02740e-16 -9.90000e+01  1.01370e-18
    5738.00  2.08230e-16 -9.90000e+01  1.04115e-18
    5762.10  2.07570e-16 -9.90000e+01  1.03785e-18
    5786.40  2.03790e-16 -9.90000e+01  1.01895e-18
    5810.90  1.81750e-16 -9.90000e+01  9.08750e-19
    5835.60  1.61520e-16 -9.90000e+01  8.07600e-19
    5860.50  1.55780e-16 -9.90000e+01  7.78900e-19
    5885.50  1.62730e-16 -9.90000e+01  8.13650e-19
    5910.70  1.66440e-16 -9.90000e+01  8.32200e-19
    5936.10  1.99660e-16 -9.90000e+01  9.98300e-19
    5961.80  2.11880e-16 -9.90000e+01  1.05940e-18
    5987.60  2.15790e-16 -9.90000e+01  1.07895e-18
    6013.60  2.25730e-16 -9.90000e+01  1.12865e-18
    6039.80  2.25100e-16 -9.90000e+01  1.12550e-18
    6066.10  2.13440e-16 -9.90000e+01  1.06720e-18
    6092.70  1.94970e-16 -9.90000e+01  9.74850e-19
    6119.50  1.72730e-16 -9.90000e+01  8.63650e-19
    6146.50  1.50840e-16 -9.90000e+01  7.54200e-19
