# SNID:                      ZTF18aaaooqj             
# SPECTRUM_ID:               2
# SPECTRUM_MJD:              60709.04
# SPECTRUM_TELESCOPE:        LT
# SPECTRUM_INSTRUMENT:       SPRAT
# SPECTRUM_TEXPOSE:          1200.0  
# SPECTRUM_STAT_SNR:         1.90    
# SPECTRUM_SYS_SNR:          11.44   
# SPECTRUM_VEXP:             4.027e-03
# SPECTRUM_NLAM:             891   
# SPECTRUM_OBSERVERS:        Daniel Perley, Jacob Wise, K-Ryan Hinds, Aleksandra Bochenek, Zoe McGrath
# SPECTRUM_INFILE:           ZTF18aaaooqj_60709.04_SPRAT.ascii
# -------------------------------------- #
#   WAVE     FLUX        FLUX_STATERR  FLUX_SYSERR 
    4358.50  9.20850e-01  6.46340e-01  2.20989e-01
    4362.89  1.23646e+00  7.18750e-01  2.18844e-01
    4367.28  1.00532e+00  8.21610e-01  2.17698e-01
    4371.67  9.83640e-01  8.32170e-01  2.16334e-01
    4376.07  1.02568e+00  6.10640e-01  2.15096e-01
    4380.47  8.09520e-01  6.61660e-01  2.13360e-01
    4384.87  9.65550e-01  7.96210e-01  2.10779e-01
    4389.27  1.32410e+00  6.85990e-01  2.08919e-01
    4393.67  7.58990e-01  8.20830e-01  2.06905e-01
    4398.07  9.60900e-01  7.64520e-01  2.05284e-01
    4402.48  1.22373e+00  6.62150e-01  2.03084e-01
    4406.88  1.03839e+00  7.70320e-01  2.01394e-01
    4411.29  8.54060e-01  8.92890e-01  1.99310e-01
    4415.70  1.07565e+00  8.41100e-01  1.96958e-01
    4420.11  1.18904e+00  9.76910e-01  1.95340e-01
    4424.52  1.35442e+00  7.58580e-01  1.92932e-01
    4428.94  6.38700e-01  9.60680e-01  1.90906e-01
    4433.35  7.00930e-01  9.47280e-01  1.88728e-01
    4437.77  1.14403e+00  6.59810e-01  1.86296e-01
    4442.19  1.02383e+00  8.08310e-01  1.84044e-01
    4446.61  7.12820e-01  8.60490e-01  1.82239e-01
    4451.03  1.02839e+00  7.81810e-01  1.79729e-01
    4455.46  9.14410e-01  8.68080e-01  1.77519e-01
    4459.88  7.77820e-01  6.69010e-01  1.75377e-01
    4464.31  1.05986e+00  7.74280e-01  1.73441e-01
    4468.74  9.97430e-01  8.20840e-01  1.71438e-01
    4473.16  9.06760e-01  8.21290e-01  1.69353e-01
    4477.60  8.52170e-01  7.61440e-01  1.66716e-01
    4482.03  8.75680e-01  8.34780e-01  1.64972e-01
    4486.46  8.76240e-01  7.43230e-01  1.63120e-01
    4490.90  9.31810e-01  8.89600e-01  1.60983e-01
    4495.33  8.53460e-01  9.53540e-01  1.59266e-01
    4499.77  8.27210e-01  9.29500e-01  1.56754e-01
    4504.21  1.19831e+00  8.44000e-01  1.55005e-01
    4508.65  8.64720e-01  7.85310e-01  1.53073e-01
    4513.10  9.33950e-01  8.32420e-01  1.51453e-01
    4517.54  7.92970e-01  8.33600e-01  1.49324e-01
    4521.99  6.66940e-01  8.35420e-01  1.47793e-01
    4526.43  7.95640e-01  8.53430e-01  1.46675e-01
    4530.88  6.61320e-01  9.83500e-01  1.45709e-01
    4535.33  1.02336e+00  8.20270e-01  1.44789e-01
    4539.79  7.66960e-01  8.73550e-01  1.43405e-01
    4544.24  8.58320e-01  8.55620e-01  1.41793e-01
    4548.69  9.66720e-01  8.62470e-01  1.41418e-01
    4553.15  1.06093e+00  8.04970e-01  1.40063e-01
    4557.61  1.06558e+00  7.20610e-01  1.38470e-01
    4562.07  9.64720e-01  7.94070e-01  1.37582e-01
    4566.53  9.47210e-01  7.54250e-01  1.36620e-01
    4570.99  8.11610e-01  8.30140e-01  1.35512e-01
    4575.45  7.48870e-01  8.64830e-01  1.34529e-01
    4579.92  7.45760e-01  7.88030e-01  1.33846e-01
    4584.38  7.87840e-01  8.34490e-01  1.32920e-01
    4588.85  8.40090e-01  7.88940e-01  1.32191e-01
    4593.32  8.77300e-01  8.12270e-01  1.31281e-01
    4597.79  1.05203e+00  7.09860e-01  1.29781e-01
    4602.26  6.15370e-01  7.98030e-01  1.28526e-01
    4606.73  7.42850e-01  7.88860e-01  1.26949e-01
    4611.21  8.81500e-01  7.38790e-01  1.26195e-01
    4615.69  9.67440e-01  6.71220e-01  1.25002e-01
    4620.16  8.37340e-01  7.66180e-01  1.24141e-01
    4624.64  7.77760e-01  7.59420e-01  1.23337e-01
    4629.12  8.13750e-01  7.34580e-01  1.22598e-01
    4633.60  5.99080e-01  7.82830e-01  1.21725e-01
    4638.09  6.75340e-01  7.48610e-01  1.20779e-01
    4642.57  7.36710e-01  6.94800e-01  1.19340e-01
    4647.06  7.89720e-01  6.72180e-01  1.18248e-01
    4651.54  9.27970e-01  6.10400e-01  1.16812e-01
    4656.03  9.34170e-01  6.99040e-01  1.15384e-01
    4660.52  9.37130e-01  7.20750e-01  1.13820e-01
    4665.02  8.46370e-01  8.67430e-01  1.13028e-01
    4669.51  9.60810e-01  8.04040e-01  1.11554e-01
    4674.00  8.10680e-01  7.71140e-01  1.10841e-01
    4678.50  1.02702e+00  7.42480e-01  1.08986e-01
    4682.99  8.47170e-01  7.29460e-01  1.07757e-01
    4687.49  8.17240e-01  7.51660e-01  1.06482e-01
    4691.99  8.28750e-01  7.65420e-01  1.05502e-01
    4696.49  8.55260e-01  7.68050e-01  1.04503e-01
    4701.00  8.49810e-01  8.09100e-01  1.03551e-01
    4705.50  1.01198e+00  7.65240e-01  1.02539e-01
    4710.00  1.07119e+00  7.09880e-01  1.01096e-01
    4714.51  7.86860e-01  7.36510e-01  1.00349e-01
    4719.02  8.86390e-01  7.18460e-01  9.95046e-02
    4723.53  1.04610e+00  7.45810e-01  9.84505e-02
    4728.04  9.91240e-01  6.42500e-01  9.77167e-02
    4732.55  9.78230e-01  7.13230e-01  9.68099e-02
    4737.06  9.24330e-01  6.85090e-01  9.60404e-02
    4741.58  1.07302e+00  6.85890e-01  9.52391e-02
    4746.09  1.04240e+00  6.68280e-01  9.44861e-02
    4750.61  9.65050e-01  6.31400e-01  9.39451e-02
    4755.13  1.13555e+00  6.13550e-01  9.34514e-02
    4759.65  9.82490e-01  6.50030e-01  9.29757e-02
    4764.17  1.10306e+00  6.36250e-01  9.22438e-02
    4768.69  1.04852e+00  6.68160e-01  9.20976e-02
    4773.21  1.00555e+00  7.11420e-01  9.18685e-02
    4777.74  1.15713e+00  6.79530e-01  9.15260e-02
    4782.26  1.12480e+00  6.76850e-01  9.11534e-02
    4786.79  1.11741e+00  6.76590e-01  9.09168e-02
    4791.32  1.06875e+00  6.99630e-01  9.08349e-02
    4795.85  1.03348e+00  7.11710e-01  9.05968e-02
    4800.38  1.16362e+00  7.81780e-01  9.03094e-02
    4804.91  1.11529e+00  6.92740e-01  9.03998e-02
    4809.45  1.18292e+00  6.87960e-01  9.01809e-02
    4813.98  1.26875e+00  7.21720e-01  9.00199e-02
    4818.52  1.10781e+00  7.92260e-01  8.99694e-02
    4823.06  1.03090e+00  8.18640e-01  9.01235e-02
    4827.60  1.13932e+00  7.61170e-01  9.01936e-02
    4832.14  1.15157e+00  6.72400e-01  8.97999e-02
    4836.68  9.57510e-01  7.59450e-01  8.95860e-02
    4841.22  1.20448e+00  7.91480e-01  8.98708e-02
    4845.76  1.24501e+00  7.24100e-01  9.00106e-02
    4850.31  1.22118e+00  6.68950e-01  8.97803e-02
    4854.86  9.22640e-01  6.75670e-01  8.97829e-02
    4859.40  1.13099e+00  5.84020e-01  8.95661e-02
    4863.95  1.14855e+00  6.29450e-01  8.94913e-02
    4868.50  1.06612e+00  6.40930e-01  8.87764e-02
    4873.05  1.09100e+00  6.54980e-01  8.87945e-02
    4877.61  1.12560e+00  6.02760e-01  8.84949e-02
    4882.16  1.23578e+00  6.43120e-01  8.81678e-02
    4886.72  1.01665e+00  7.62460e-01  8.82377e-02
    4891.27  1.12374e+00  6.56660e-01  8.77433e-02
    4895.83  1.06690e+00  7.17830e-01  8.76275e-02
    4900.39  1.21634e+00  6.34550e-01  8.74314e-02
    4904.95  9.99110e-01  6.77670e-01  8.70240e-02
    4909.51  1.05388e+00  6.25590e-01  8.68682e-02
    4914.07  9.47400e-01  7.25370e-01  8.66614e-02
    4918.64  1.13128e+00  6.85370e-01  8.62393e-02
    4923.20  8.85370e-01  7.34770e-01  8.60239e-02
    4927.77  1.02528e+00  5.99980e-01  8.57989e-02
    4932.33  1.07162e+00  6.56100e-01  8.55199e-02
    4936.90  9.81670e-01  6.19130e-01  8.54053e-02
    4941.47  1.09068e+00  6.28490e-01  8.51925e-02
    4946.04  1.05999e+00  6.13500e-01  8.52176e-02
    4950.61  9.99930e-01  6.32390e-01  8.51747e-02
    4955.19  9.02360e-01  6.42720e-01  8.53808e-02
    4959.76  9.04170e-01  6.37020e-01  8.54495e-02
    4964.34  9.45570e-01  6.27530e-01  8.58707e-02
    4968.91  9.85430e-01  6.96230e-01  8.59206e-02
    4973.49  8.94750e-01  6.98060e-01  8.63347e-02
    4978.07  9.11010e-01  6.04680e-01  8.69033e-02
    4982.65  9.33040e-01  7.23580e-01  8.72342e-02
    4987.23  8.53030e-01  6.53760e-01  8.79386e-02
    4991.81  9.66040e-01  6.24260e-01  8.86926e-02
    4996.40  8.39460e-01  6.01080e-01  8.93491e-02
    5000.98  8.50420e-01  6.48960e-01  9.01095e-02
    5005.57  9.82390e-01  5.10380e-01  9.08416e-02
    5010.15  7.30860e-01  6.07170e-01  9.19053e-02
    5014.74  8.68540e-01  6.37280e-01  9.33159e-02
    5019.33  7.37700e-01  6.51640e-01  9.43396e-02
    5023.92  7.99130e-01  6.07200e-01  9.54944e-02
    5028.51  8.35140e-01  6.12520e-01  9.63598e-02
    5033.11  9.65070e-01  5.68370e-01  9.76383e-02
    5037.70  8.71200e-01  5.69570e-01  9.88560e-02
    5042.29  9.51110e-01  6.23310e-01  1.00172e-01
    5046.89  1.03931e+00  5.73540e-01  1.01554e-01
    5051.49  9.05470e-01  5.63650e-01  1.02589e-01
    5056.09  8.83390e-01  6.26730e-01  1.03958e-01
    5060.69  8.86390e-01  6.59850e-01  1.05247e-01
    5065.29  9.99830e-01  6.35090e-01  1.06602e-01
    5069.89  9.10730e-01  5.69250e-01  1.07584e-01
    5074.49  9.81030e-01  6.11360e-01  1.08815e-01
    5079.09  9.92430e-01  5.65340e-01  1.09920e-01
    5083.70  9.64290e-01  5.90720e-01  1.10755e-01
    5088.30  8.77470e-01  6.18440e-01  1.11390e-01
    5092.91  9.53470e-01  5.26350e-01  1.12532e-01
    5097.52  1.10493e+00  5.89770e-01  1.13329e-01
    5102.13  1.21236e+00  5.91970e-01  1.13593e-01
    5106.74  1.24555e+00  6.55610e-01  1.14776e-01
    5111.35  1.29664e+00  5.49660e-01  1.15247e-01
    5115.96  1.17066e+00  5.61290e-01  1.15780e-01
    5120.58  6.81230e-01  6.70960e-01  1.15985e-01
    5125.19  8.24600e-01  6.25330e-01  1.16621e-01
    5129.81  8.30490e-01  6.41920e-01  1.16988e-01
    5134.42  8.76520e-01  5.73980e-01  1.17230e-01
    5139.04  8.59510e-01  6.65990e-01  1.17597e-01
